,item,prog_human,mant_human,prot_human,is_prototype,weight,Unnamed: 0,source,paraphrase_0,extract
0,We aim to invest in maintaining the current state,0.0,1.0,0.0,True,8.586206896551724,,,,
1,We willen investeren in het behoud van de huidige staat,0.0,1.0,0.0,True,8.586206896551724,,,,
2,Wir wollen in die Erhaltung des derzeitigen Zustands investieren,0.0,1.0,0.0,True,8.586206896551724,,,,
3,We aim to invest in making changes and improving the current state,1.0,0.0,0.0,True,8.586206896551724,,,,
4,We willen investeren in het aanbrengen van veranderingen en het verbeteren van de huidige staat,1.0,0.0,0.0,True,8.586206896551724,,,,
5,Wir wollen in Veränderungen und die Verbesserung des aktuellen Zustands investieren,1.0,0.0,0.0,True,8.586206896551724,,,,
6,We aim to invest in preventing negative changes to the current state,0.0,0.0,1.0,True,8.586206896551724,,,,
7,We willen investeren in het voorkomen van negatieve veranderingen in de huidige staat,0.0,0.0,1.0,True,8.586206896551724,,,,
8,Wir wollen in die Verhinderung negativer Veränderungen des derzeitigen Zustands investieren,0.0,0.0,1.0,True,8.586206896551724,,,,
9,"We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.",0.5357142857142857,0.7142857142857143,0.8214285714285714,,1.9302325581395348,107.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."",     ""We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism."",     ""We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."",     ""We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."",     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.""   ] } ","We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."
10,We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism.,0.5357142857142857,0.7142857142857143,0.8214285714285714,,1.9302325581395348,107.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."",     ""We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism."",     ""We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."",     ""We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."",     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.""   ] } ",We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism.
11,"We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism.",0.5357142857142857,0.7142857142857143,0.8214285714285714,,1.9302325581395348,107.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."",     ""We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism."",     ""We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."",     ""We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."",     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.""   ] } ","We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."
12,"We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism.",0.5357142857142857,0.7142857142857143,0.8214285714285714,,1.9302325581395348,107.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."",     ""We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism."",     ""We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."",     ""We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."",     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.""   ] } ","We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."
13,"We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.",0.5357142857142857,0.7142857142857143,0.8214285714285714,,1.9302325581395348,107.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."",     ""We need to work together to build a stronger and more effective coalition that can take on the challenges of terrorism."",     ""We should work together to pool our resources and expertise, and to develop a more effective military that can deter and defeat terrorism."",     ""We should work together to share our knowledge and skills, and to build a more effective coalition that can take on the challenges of terrorism."",     ""We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism.""   ] } ","We should work together to share our resources and expertise, and to make our military more effective in fighting terrorism."
